,ECG I,ECG I filtered
0 days 00:00:00,-0.085,-0.115
0 days 00:00:00.002000,-0.08,-0.115
0 days 00:00:00.004000,-0.07,-0.12
0 days 00:00:00.006000,-0.075,-0.12
0 days 00:00:00.008000,-0.095,-0.12
0 days 00:00:00.010000,-0.09,-0.12
0 days 00:00:00.012000,-0.1,-0.12
0 days 00:00:00.014000,-0.1,-0.115
0 days 00:00:00.016000,-0.1,-0.115
0 days 00:00:00.018000,-0.085,-0.115
0 days 00:00:00.020000,-0.06,-0.11
0 days 00:00:00.022000,-0.045,-0.11
0 days 00:00:00.024000,-0.055,-0.11
0 days 00:00:00.026000,-0.06,-0.11
0 days 00:00:00.028000,-0.07,-0.105
0 days 00:00:00.030000,-0.08,-0.105
0 days 00:00:00.032000,-0.085,-0.105
0 days 00:00:00.034000,-0.08,-0.105
0 days 00:00:00.036000,-0.07,-0.1
0 days 00:00:00.038000,-0.04,-0.1
0 days 00:00:00.040000,-0.05,-0.1
0 days 00:00:00.042000,-0.045,-0.1
0 days 00:00:00.044000,-0.04,-0.1
0 days 00:00:00.046000,-0.04,-0.1
0 days 00:00:00.048000,-0.055,-0.1
0 days 00:00:00.050000,-0.06,-0.1
0 days 00:00:00.052000,-0.055,-0.1
0 days 00:00:00.054000,-0.055,-0.095
0 days 00:00:00.056000,-0.055,-0.095
0 days 00:00:00.058000,-0.045,-0.095
0 days 00:00:00.060000,-0.04,-0.095
0 days 00:00:00.062000,-0.045,-0.09
0 days 00:00:00.064000,-0.04,-0.09
0 days 00:00:00.066000,-0.03,-0.09
0 days 00:00:00.068000,-0.035,-0.09
0 days 00:00:00.070000,-0.045,-0.085
0 days 00:00:00.072000,-0.055,-0.085
0 days 00:00:00.074000,-0.055,-0.085
0 days 00:00:00.076000,-0.05,-0.085
0 days 00:00:00.078000,-0.02,-0.085
0 days 00:00:00.080000,-0.015,-0.08
0 days 00:00:00.082000,-0.01,-0.08
0 days 00:00:00.084000,0.005,-0.075
0 days 00:00:00.086000,0.0,-0.07
0 days 00:00:00.088000,-0.005,-0.07
0 days 00:00:00.090000,-0.025,-0.065
0 days 00:00:00.092000,-0.035,-0.065
0 days 00:00:00.094000,-0.03,-0.06
0 days 00:00:00.096000,-0.03,-0.06
0 days 00:00:00.098000,-0.015,-0.06
0 days 00:00:00.100000,-0.005,-0.06
0 days 00:00:00.102000,0.0,-0.065
0 days 00:00:00.104000,0.01,-0.065
0 days 00:00:00.106000,0.02,-0.06
0 days 00:00:00.108000,0.0,-0.06
0 days 00:00:00.110000,-0.005,-0.055
0 days 00:00:00.112000,0.005,-0.05
0 days 00:00:00.114000,0.005,-0.05
0 days 00:00:00.116000,0.01,-0.045
0 days 00:00:00.118000,0.025,-0.04
0 days 00:00:00.120000,0.04,-0.035
0 days 00:00:00.122000,0.055,-0.03
0 days 00:00:00.124000,0.06,-0.025
0 days 00:00:00.126000,0.045,-0.02
0 days 00:00:00.128000,0.04,-0.01
0 days 00:00:00.130000,0.045,-0.005
0 days 00:00:00.132000,0.04,0.005
0 days 00:00:00.134000,0.04,0.01
0 days 00:00:00.136000,0.07,0.02
0 days 00:00:00.138000,0.075,0.025
0 days 00:00:00.140000,0.09,0.025
0 days 00:00:00.142000,0.105,0.03
0 days 00:00:00.144000,0.105,0.03
0 days 00:00:00.146000,0.115,0.03
0 days 00:00:00.148000,0.105,0.035
0 days 00:00:00.150000,0.1,0.035
0 days 00:00:00.152000,0.1,0.04
0 days 00:00:00.154000,0.095,0.045
0 days 00:00:00.156000,0.125,0.055
0 days 00:00:00.158000,0.155,0.065
0 days 00:00:00.160000,0.16,0.075
0 days 00:00:00.162000,0.16,0.085
0 days 00:00:00.164000,0.175,0.095
0 days 00:00:00.166000,0.175,0.1
0 days 00:00:00.168000,0.155,0.105
0 days 00:00:00.170000,0.16,0.11
0 days 00:00:00.172000,0.15,0.115
0 days 00:00:00.174000,0.15,0.12
0 days 00:00:00.176000,0.16,0.125
0 days 00:00:00.178000,0.18,0.125
0 days 00:00:00.180000,0.19,0.125
0 days 00:00:00.182000,0.19,0.125
0 days 00:00:00.184000,0.2,0.125
0 days 00:00:00.186000,0.19,0.12
0 days 00:00:00.188000,0.18,0.12
0 days 00:00:00.190000,0.175,0.115
0 days 00:00:00.192000,0.165,0.11
0 days 00:00:00.194000,0.16,0.105
0 days 00:00:00.196000,0.165,0.105
0 days 00:00:00.198000,0.155,0.1
0 days 00:00:00.200000,0.165,0.1
0 days 00:00:00.202000,0.165,0.1
0 days 00:00:00.204000,0.17,0.1
0 days 00:00:00.206000,0.145,0.095
0 days 00:00:00.208000,0.135,0.09
0 days 00:00:00.210000,0.11,0.085
0 days 00:00:00.212000,0.09,0.075
0 days 00:00:00.214000,0.07,0.065
0 days 00:00:00.216000,0.075,0.05
0 days 00:00:00.218000,0.085,0.04
0 days 00:00:00.220000,0.085,0.025
0 days 00:00:00.222000,0.07,0.015
0 days 00:00:00.224000,0.07,0.01
0 days 00:00:00.226000,0.05,0.0
0 days 00:00:00.228000,0.04,-0.005
0 days 00:00:00.230000,0.025,-0.01
0 days 00:00:00.232000,0.005,-0.015
0 days 00:00:00.234000,-0.005,-0.02
0 days 00:00:00.236000,0.0,-0.025
0 days 00:00:00.238000,0.0,-0.035
0 days 00:00:00.240000,0.005,-0.045
0 days 00:00:00.242000,0.01,-0.055
0 days 00:00:00.244000,0.0,-0.06
0 days 00:00:00.246000,0.01,-0.065
0 days 00:00:00.248000,0.015,-0.065
0 days 00:00:00.250000,0.03,-0.06
0 days 00:00:00.252000,0.035,-0.05
0 days 00:00:00.254000,0.045,-0.035
0 days 00:00:00.256000,0.065,-0.015
0 days 00:00:00.258000,0.085,0.0
0 days 00:00:00.260000,0.09,0.015
0 days 00:00:00.262000,0.12,0.025
0 days 00:00:00.264000,0.115,0.03
0 days 00:00:00.266000,0.09,0.035
0 days 00:00:00.268000,0.085,0.035
0 days 00:00:00.270000,0.07,0.03
0 days 00:00:00.272000,0.08,0.025
0 days 00:00:00.274000,0.08,0.025
0 days 00:00:00.276000,0.09,0.025
0 days 00:00:00.278000,0.095,0.025
0 days 00:00:00.280000,0.11,0.03
0 days 00:00:00.282000,0.115,0.03
0 days 00:00:00.284000,0.13,0.035
